"name"|"anio"|"procurementMethod"|"tipo_proc"|"n_expedientes"|"n_contratos"|"monto_mxn"|"inst_pctn_monto"|"inst_pctn_contracts"
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|5|5|3488375.37|1.92|6.76
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|38|38|54407233.41|41.65|66.67
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|8|8|55373372|42.39|14.04
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|9|11|20851634.02|15.96|19.3
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|1|1|1435066.8|35.29|33.33
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2022"|"selective"|"Invitación a 3 o más"|2|2|2631740.15|64.71|66.67
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|3|3|390661.22|4.89|60
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|1|1|6175900|77.3|20
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|1|1|1422888|17.81|20
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|54|54|32352482.84|30.07|83.08
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|5|5|65468887.04|60.84|7.69
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|6|6|9782722.575960001|9.09|9.23
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|52|52|12361297.9624|45.14|91.23
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|2|2|10711020.219999999|39.12|3.51
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|3|3|4310213.35|15.74|5.26
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|22|22|2651174.06|2.42|84.62
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|1|1|102714553.92|93.8|3.85
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|3|3|4138849.9|3.78|11.54
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|58|61|47622985.5|36.08|85.92
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|5|8|56869363.15|43.08|11.27
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|2|2|27518369.26|20.85|2.82
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|1|1|6329686.49|100|100
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|2|2|605869.97|0.47|66.67
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|1|1|127579994.97|99.53|33.33
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|140|140|30029609.98|51.31|93.33
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|8|9|28004810.75|47.85|6
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|1|1|488270|0.83|0.67
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|230|230|138449171.78|38.77|88.8
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|13|13|184448634.66|51.66|5.02
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|16|16|34173417.57|9.57|6.18
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|186|186|69976874.44|52.77|95.38
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|4|5|58268941|43.94|2.56
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|4|4|4372237.93|3.3|2.05
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|80|82|2902457772.54|97.79|85.42
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2021"|"framework"|"Contrato marco"|1|1|4558824|0.15|1.04
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|7|7|56885105.87|1.92|7.29
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|4|6|4039568.7800000003|0.14|6.25
"Administración Portuaria Integral de Guaymas, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|1|1|2069814.12|100|100
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|4|4|85700481.85000001|18.51|13.79
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|24|24|373635957.73|80.68|82.76
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|1|1|3750364.09|0.81|3.45
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|223|223|101517978.2836|19.65|85.44
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|14|20|345892151.2|66.96|7.66
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|18|18|69146134.38|13.39|6.9
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|227|227|131346601.34103501|10.78|81.36
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|37|44|1076687994.4359|88.35|15.77
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|8|8|10581645.69|0.87|2.87
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|136|136|60343981.46008|25.98|79.53
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|28|31|166027238.85|71.49|18.13
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|4|4|5880275.16|2.53|2.34
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|204|204|92064583.13|22.43|82.93
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2021"|"framework"|"Contrato marco"|7|7|71502716.65|17.42|2.85
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|30|32|240014177.537875|58.46|13.01
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|3|3|6959416.14|1.7|1.22
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|26|26|41731895.5|48.27|83.87
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|4|4|42108811.73|48.7|12.9
"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V."|"2022"|"selective"|"Invitación a 3 o más"|1|1|2616325.76|3.03|3.23
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|8|8|160781977.2354|31.95|25
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|12|22|338741228.22|67.3|68.75
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|2|2|3779024.94|0.75|6.25
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|160|160|95758010.400664|19.47|73.06
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|5|5|167529681.43|34.07|2.28
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|54|54|228484178.13|46.46|24.66
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|300|300|191748561.009586|16.07|80.65
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|19|19|750195096.63|62.89|5.11
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|53|53|250908278.545|21.03|14.25
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|217|219|261826790.368779|71.66|89.39
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|7|8|17376618.14|4.76|3.27
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|18|18|86194809.56|23.59|7.35
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|203|278|208463227.372378|19.95|82.74
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|41|44|785574009.67|75.18|13.1
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|14|14|50948286.95|4.88|4.17
"Administración Portuaria Integral de Manzanillo, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|6|8|1079564.76|100|100
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|2|2|15141811.86|100|100
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|48|48|11947088.82|50.19|85.71
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2018"|"framework"|"Contrato marco"|1|1|302500|1.27|1.79
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|4|5|8253926.78|34.68|8.93
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|2|2|3299485.63|13.86|3.57
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|27|27|6338490.850000001|1.22|62.79
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|9|10|42939792.85|8.24|23.26
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|6|6|472114244.99|90.55|13.95
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|31|39|12087518.71|50.89|84.78
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|4|4|7742935.22|32.6|8.7
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|3|3|3920320.02|16.51|6.52
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|30|48|15175067.62|5.94|62.34
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2021"|"framework"|"Contrato marco"|2|4|9591804.06|3.75|5.19
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|12|21|224526095|87.82|27.27
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|4|4|6362079.08|2.49|5.19
"Administración Portuaria Integral de Mazatlán, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|1|1|514790|100|100
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|2|2|9483612.14|25.51|20
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|8|8|27692228.05|74.49|80
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|118|147|40933605.52|22.94|91.3
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|9|10|130853941.91|73.35|6.21
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|4|4|6615151.550000001|3.71|2.48
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|151|187|42516737.544444|21.38|91.22
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|12|12|142895579.16|71.84|5.85
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|6|6|13489891.48|6.78|2.93
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|62|69|8711967.91|11.76|88.46
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|7|7|59598001.1116|80.46|8.97
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|2|2|5761465.72|7.78|2.56
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|63|63|18699262.18|7.31|71.59
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|17|17|213488135.85|83.45|19.32
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|8|8|23629460.46|9.24|9.09
"Administración Portuaria Integral de Progreso, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|17|17|2524201.32|100|100
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|6|6|4776876|9.38|85.71
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|1|1|46130946.23|90.62|14.29
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|5|5|769243|3.32|45.45
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|4|5|21992961.389999997|94.95|45.45
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|1|1|400000|1.73|9.09
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|11|11|9887821.14|57.46|64.71
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|2|2|2752277.71|15.99|11.76
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|4|4|4569016.39|26.55|23.53
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|29|29|42501732.37|80.82|85.29
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|3|3|9314066.41|17.71|8.82
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|2|2|772267.45|1.47|5.88
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|41|41|5741442.94|34.76|83.67
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2021"|"framework"|"Contrato marco"|2|2|2252719.7199999997|13.64|4.08
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|6|6|8523814.13|51.6|12.24
"Administración Portuaria Integral de Puerto Madero, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|5|5|539172.96|100|100
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|4|4|6847048.050000001|100|100
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|35|35|5743236.84|14.34|74.47
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|5|8|32410854.92|80.93|17.02
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|3|4|1891996.58|4.72|8.51
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|31|31|6557083.653228|23.52|79.49
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|4|4|19039578.48|68.3|10.26
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|4|4|2280522.71|8.18|10.26
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|2|2|2930458.54|49.35|33.33
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|3|4|3007979.6799999997|50.65|66.67
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|40|44|9482929.099865|40.31|97.78
"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|1|1|14040000|59.69|2.22
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2017"|"direct"|"Adjudicación directa"|1|1|274647|9.85|33.33
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2017"|"open"|"Licitación abierta"|1|1|1365413|48.95|33.33
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2017"|"selective"|"Invitación a 3 o más"|1|1|1149164.49|41.2|33.33
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|55|55|6970436.234207|8.14|94.83
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2018"|"open"|"Licitación abierta"|1|1|3087083.24|3.61|1.72
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2018"|"selective"|"Invitación a 3 o más"|2|2|75549999.55|88.25|3.45
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2019"|"direct"|"Adjudicación directa"|57|57|14163873.703920001|14.12|79.17
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2019"|"open"|"Licitación abierta"|8|9|39483317.4175|39.36|12.5
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2019"|"selective"|"Invitación a 3 o más"|6|6|46660872.468|46.52|8.33
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2020"|"direct"|"Adjudicación directa"|42|42|4246205103.8489103|99.19|82.35
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2020"|"open"|"Licitación abierta"|8|8|33397293.53|0.78|15.69
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2020"|"selective"|"Invitación a 3 o más"|1|1|1297999.12|0.03|1.96
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2021"|"direct"|"Adjudicación directa"|15|15|7294533.7|2.19|65.22
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2021"|"framework"|"Contrato marco"|1|1|1757640|0.53|4.35
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2021"|"open"|"Licitación abierta"|5|6|324297487.53999996|97.14|26.09
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2021"|"selective"|"Invitación a 3 o más"|1|1|490010.37|0.15|4.35
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2022"|"direct"|"Adjudicación directa"|39|40|13942716.56814|0.32|75.47
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2022"|"open"|"Licitación abierta"|9|9|4402964701.733|99.54|16.98
"Administración Portuaria Integral de Salina Cruz, S.A. de C.V."|"2022"|"selective"|"Invitación a 3 o más"|4|4|6372018.0986|0.14|7.55
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2018"|"direct"|"Adjudicación directa"|11|11|54884478.8185|37.4|47.83
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2018"|"framework"|"Contrato marco"|1|1|594808.74|0.41|4.35
